"Country Name","Region"
"Afghanistan","South Asia"
"Albania","Europe & Central Asia"
"Algeria","Middle East & North Africa"
"American Samoa","East Asia & Pacific"
"Andorra","Europe & Central Asia"
"Angola","Sub-Saharan Africa"
"Antigua and Barbuda","Latin America & Caribbean"
"Arab World",NA
"Argentina","Latin America & Caribbean"
"Armenia","Europe & Central Asia"
"Aruba","Latin America & Caribbean"
"Australia","East Asia & Pacific"
"Austria","Europe & Central Asia"
"Azerbaijan","Europe & Central Asia"
"Bahamas, The","Latin America & Caribbean"
"Bahrain","Middle East & North Africa"
"Bangladesh","South Asia"
"Barbados","Latin America & Caribbean"
"Belarus","Europe & Central Asia"
"Belgium","Europe & Central Asia"
"Belize","Latin America & Caribbean"
"Benin","Sub-Saharan Africa"
"Bermuda","North America"
"Bhutan","South Asia"
"Bolivia","Latin America & Caribbean"
"Bosnia and Herzegovina","Europe & Central Asia"
"Botswana","Sub-Saharan Africa"
"Brazil","Latin America & Caribbean"
"Brunei Darussalam","East Asia & Pacific"
"Bulgaria","Europe & Central Asia"
"Burkina Faso","Sub-Saharan Africa"
"Burundi","Sub-Saharan Africa"
"Cabo Verde","Sub-Saharan Africa"
"Cambodia","East Asia & Pacific"
"Cameroon","Sub-Saharan Africa"
"Canada","North America"
"Caribbean small states",NA
"Cayman Islands","Latin America & Caribbean"
"Central African Republic","Sub-Saharan Africa"
"Central Europe and the Baltics",NA
"Chad","Sub-Saharan Africa"
"Channel Islands","Europe & Central Asia"
"Chile","Latin America & Caribbean"
"China","East Asia & Pacific"
"Colombia","Latin America & Caribbean"
"Comoros","Sub-Saharan Africa"
"Congo, Dem. Rep.","Sub-Saharan Africa"
"Congo, Rep.","Sub-Saharan Africa"
"Costa Rica","Latin America & Caribbean"
"Côte d'Ivoire","Sub-Saharan Africa"
"Croatia","Europe & Central Asia"
"Cuba","Latin America & Caribbean"
"Curaçao","Latin America & Caribbean"
"Cyprus","Europe & Central Asia"
"Czech Republic","Europe & Central Asia"
"Denmark","Europe & Central Asia"
"Djibouti","Middle East & North Africa"
"Dominica","Latin America & Caribbean"
"Dominican Republic","Latin America & Caribbean"
"East Asia & Pacific",NA
"East Asia & Pacific (all income levels)",NA
"Ecuador","Latin America & Caribbean"
"Egypt, Arab Rep.","Middle East & North Africa"
"El Salvador","Latin America & Caribbean"
"Equatorial Guinea","Sub-Saharan Africa"
"Eritrea","Sub-Saharan Africa"
"Estonia","Europe & Central Asia"
"Ethiopia","Sub-Saharan Africa"
"Euro area",NA
"Europe & Central Asia",NA
"Europe & Central Asia (all income levels)",NA
"European Union",NA
"Faeroe Islands","Europe & Central Asia"
"Fiji","East Asia & Pacific"
"Finland","Europe & Central Asia"
"Fragile and conflict affected situations",NA
"France","Europe & Central Asia"
"French Polynesia","East Asia & Pacific"
"Gabon","Sub-Saharan Africa"
"Gambia, The","Sub-Saharan Africa"
"Georgia","Europe & Central Asia"
"Germany","Europe & Central Asia"
"Ghana","Sub-Saharan Africa"
"Greece","Europe & Central Asia"
"Greenland","Europe & Central Asia"
"Grenada","Latin America & Caribbean"
"Guam","East Asia & Pacific"
"Guatemala","Latin America & Caribbean"
"Guinea","Sub-Saharan Africa"
"Guinea-Bissau","Sub-Saharan Africa"
"Guyana","Latin America & Caribbean"
"Haiti","Latin America & Caribbean"
"Heavily indebted poor countries (HIPC)",NA
"High income",NA
"High income: nonOECD",NA
"High income: OECD",NA
"Honduras","Latin America & Caribbean"
"Hong Kong SAR, China","East Asia & Pacific"
"Hungary","Europe & Central Asia"
"Iceland","Europe & Central Asia"
"India","South Asia"
"Indonesia","East Asia & Pacific"
"Iran, Islamic Rep.","Middle East & North Africa"
"Iraq","Middle East & North Africa"
"Ireland","Europe & Central Asia"
"Isle of Man","Europe & Central Asia"
"Israel","Middle East & North Africa"
"Italy","Europe & Central Asia"
"Jamaica","Latin America & Caribbean"
"Japan","East Asia & Pacific"
"Jordan","Middle East & North Africa"
"Kazakhstan","Europe & Central Asia"
"Kenya","Sub-Saharan Africa"
"Kiribati","East Asia & Pacific"
"Korea, Dem. Rep.","East Asia & Pacific"
"Korea, Rep.","East Asia & Pacific"
"Kosovo","Europe & Central Asia"
"Kuwait","Middle East & North Africa"
"Kyrgyz Republic","Europe & Central Asia"
"Lao PDR","East Asia & Pacific"
"Latin America & Caribbean",NA
"Latin America & Caribbean (all income levels)",NA
"Latvia","Europe & Central Asia"
"Least developed countries: UN classification",NA
"Lebanon","Middle East & North Africa"
"Lesotho","Sub-Saharan Africa"
"Liberia","Sub-Saharan Africa"
"Libya","Middle East & North Africa"
"Liechtenstein","Europe & Central Asia"
"Lithuania","Europe & Central Asia"
"Low & middle income",NA
"Low income",NA
"Lower middle income",NA
"Luxembourg","Europe & Central Asia"
"Macao SAR, China","East Asia & Pacific"
"Macedonia, FYR","Europe & Central Asia"
"Madagascar","Sub-Saharan Africa"
"Malawi","Sub-Saharan Africa"
"Malaysia","East Asia & Pacific"
"Maldives","South Asia"
"Mali","Sub-Saharan Africa"
"Malta","Middle East & North Africa"
"Marshall Islands","East Asia & Pacific"
